topic,score,test_statistic
Abortion,0.00039999999999995595,0.6128066386365995
Black Americans,0.0,0.8300921934371109
Entertainment,0.05500000000000005,0.36589196099348287
Gold,0.017299999999999982,0.11507718350889116
HealthScience,9.999999999998899e-05,0.9589374848488286
Illegal Immigration,0.00039999999999995595,0.5885664284291625
LGBTQ,0.030299999999999994,0.35313871514652073
Sports,0.48860000000000003,0.005897877026657022
USA,0.0,0.7447990767586709
WeatherClimate,0.008399999999999963,0.6221932471168918
